tribe,label_in_source,year,source,figure,unit,page,quote,url,note,in_gazetteer
Djeladjela,"Les Adli, Djeladjela et Nefsa",1853,Pellissier de Reynaud 1853,1500,souls,52,"Les Adli, Djeladjela et Nefsa 1,500",https://archive.org/details/descriptiondela00rayngoog,Three groups on one line; Nefza is inside this figure.,1
Nefza,"Les Adli, Djeladjela et Nefsa",1853,Pellissier de Reynaud 1853,1500,souls,52,"Les Adli, Djeladjela et Nefsa 1,500",https://archive.org/details/descriptiondela00rayngoog,Three groups on one line; not separable from Djeladjela.,1
Ghezoran,Les Grezouan et les Grezara,1853,Pellissier de Reynaud 1853,1500,souls,52,"Les Grezouan et les Grezara 1,500",https://archive.org/details/descriptiondela00rayngoog,Two groups on one line.,1
Ouargha,Ouarka,1853,Pellissier de Reynaud 1853,4000,souls,184-185,Voici quelle est approximativement la population de la contrée soumise directement au kaïd d'El-Kef sur la droite de la Medjerda jusqu'à Haïdra : ...,https://archive.org/details/descriptiondela00rayngoog,"Kef table; total 33,500 checks against its parts.",1
Charen,Charen,1853,Pellissier de Reynaud 1853,3000,souls,184-185,Voici quelle est approximativement la population de la contrée soumise directement au kaïd d'El-Kef sur la droite de la Medjerda jusqu'à Haïdra : ...,https://archive.org/details/descriptiondela00rayngoog,"Kef table; total 33,500 checks against its parts.",1
Ouled bou Ghanem,Oulad-Bou-Ghanem,1853,Pellissier de Reynaud 1853,4000,souls,184-185,Voici quelle est approximativement la population de la contrée soumise directement au kaïd d'El-Kef sur la droite de la Medjerda jusqu'à Haïdra : ...,https://archive.org/details/descriptiondela00rayngoog,"Kef table; total 33,500 checks against its parts.",1
Ouartan,Ouartan,1853,Pellissier de Reynaud 1853,7000,souls,184-185,Voici quelle est approximativement la population de la contrée soumise directement au kaïd d'El-Kef sur la droite de la Medjerda jusqu'à Haïdra : ...,https://archive.org/details/descriptiondela00rayngoog,"Kef table; total 33,500 checks against its parts.",1
Doufan,Doufan,1853,Pellissier de Reynaud 1853,3000,souls,184-185,Voici quelle est approximativement la population de la contrée soumise directement au kaïd d'El-Kef sur la droite de la Medjerda jusqu'à Haïdra : ...,https://archive.org/details/descriptiondela00rayngoog,"Kef table; total 33,500 checks against its parts.",1
Zeghalma,Zeralma,1853,Pellissier de Reynaud 1853,3000,souls,184-185,Voici quelle est approximativement la population de la contrée soumise directement au kaïd d'El-Kef sur la droite de la Medjerda jusqu'à Haïdra : ...,https://archive.org/details/descriptiondela00rayngoog,"Kef table; total 33,500 checks against its parts.",1
Ouerghemma,Ourghema,1853,Pellissier de Reynaud 1853,15000,souls,172,"La population de l'Arad proprement dit se compose ainsi qu'il suit : ... Total 68,800",https://archive.org/details/descriptiondela00rayngoog,"Arad table; total 68,800 checks against its parts. Pellissier adds: 'il ne faut pas demander à ces chiffres le degré d'exactitude qu'on serait en droit d'exiger en Europe; mais je les crois très-voisins de la vérité.'",1
Accara,Akara,1853,Pellissier de Reynaud 1853,4000,souls,172,"La population de l'Arad proprement dit se compose ainsi qu'il suit : ... Total 68,800",https://archive.org/details/descriptiondela00rayngoog,"Arad table; total 68,800 checks against its parts. Pellissier adds: 'il ne faut pas demander à ces chiffres le degré d'exactitude qu'on serait en droit d'exiger en Europe; mais je les crois très-voisins de la vérité.'",1
Matmata,Matmata,1853,Pellissier de Reynaud 1853,5000,souls,172,"La population de l'Arad proprement dit se compose ainsi qu'il suit : ... Total 68,800",https://archive.org/details/descriptiondela00rayngoog,"Arad table; total 68,800 checks against its parts. Pellissier adds: 'il ne faut pas demander à ces chiffres le degré d'exactitude qu'on serait en droit d'exiger en Europe; mais je les crois très-voisins de la vérité.'",1
Hamarna,Hamerna,1853,Pellissier de Reynaud 1853,4000,souls,172,"La population de l'Arad proprement dit se compose ainsi qu'il suit : ... Total 68,800",https://archive.org/details/descriptiondela00rayngoog,"Arad table; total 68,800 checks against its parts. Pellissier adds: 'il ne faut pas demander à ces chiffres le degré d'exactitude qu'on serait en droit d'exiger en Europe; mais je les crois très-voisins de la vérité.'",1
M'Talith,Methelith,1853,Pellissier de Reynaud 1853,15000,souls,133,La population des Methelith est d'environ quinze mille âmes. Elle se divise en six fractions ou berada,https://archive.org/details/descriptiondela00rayngoog,"The six fractions he names are the five this repository read off his map, plus one.",1
Souassi,Souassi,1853,Pellissier de Reynaud 1853,4000-5000,souls,132,Les Souassi comptent quatre à cinq mille âmes de population,https://archive.org/details/descriptiondela00rayngoog,,1
Neffat,Nefat,1853,Pellissier de Reynaud 1853,4000,souls,136,"on trouve la tribu des Nefat, dont la population est d'environ quatre mille âmes",https://archive.org/details/descriptiondela00rayngoog,,1
Ouled Ayar,Oulad-Ayar,1853,Pellissier de Reynaud 1853,4000,souls,192,Les Oulad-Ayar forment une tribu de quatre mille âmes de population environ,https://archive.org/details/descriptiondela00rayngoog,,1
Zlass,Djelas,1853,Pellissier de Reynaud 1853,3000,horsemen,126,On évalue à trois mille le nombre de cavaliers que les Djelas peuvent mettre sous les armes,https://archive.org/details/descriptiondela00rayngoog,"Fighting strength, not population. Not convertible to souls without an assumption.",1
Mejers,Madjer,1853,Pellissier de Reynaud 1853,2000,horsemen,127,Les Madjer peuvent mettre deux mille cavaliers à cheval,https://archive.org/details/descriptiondela00rayngoog,"Fighting strength, not population.",1
Frechiche,Frachich,1853,Pellissier de Reynaud 1853,1000,horsemen,127,"Les Frachich n'ont qu'un seul kaïd, et ne peuvent mettre que mille guerriers à cheval",https://archive.org/details/descriptiondela00rayngoog,"Fighting strength for the whole tribe, its three fractions included.",1
Hammama,Hamema,1853,Pellissier de Reynaud 1853,4000,horsemen,128,"Cette tribu peut mettre quatre mille hommes à cheval, et se divise en trois berada",https://archive.org/details/descriptiondela00rayngoog,"Fighting strength, not population.",1
Drid,Drid,1853,Pellissier de Reynaud 1853,1500,tents,~160,"Ce chef voit alors plus de quinze cents tentes autour de la sienne. Même aux époques ordinaires de l'année, sa smala n'en compte jamais moins de trois cents",https://archive.org/details/descriptiondela00rayngoog,"Tents assembled at the kaid's camp before the Djerid expedition, not a count of the tribe.",1
Zlass,Caïdat de Djelass,1931,"Dénombrement de la population civile indigène, 22 mars 1931",93157,souls,8-11 (Tableau II),Djelass — population musulmane 93.017. totaux généraux 93.157,https://gallica.bnf.fr/ark:/12148/bpt6k994559s,"Caïdat, not tribe: the unit is the administration built on the tribe and its boundary is the caïdat's, not the tribe's.",1
Frechiche,Caïdat de Fraïchiches,1931,"Dénombrement de la population civile indigène, 22 mars 1931",39085,souls,8-11 (Tableau II),Fraïchiches — population musulmane 39.043. totaux généraux 39.085,https://gallica.bnf.fr/ark:/12148/bpt6k994559s,"Caïdat, not tribe: the unit is the administration built on the tribe and its boundary is the caïdat's, not the tribe's.",1
Hammama,Caïdat de Hammama,1931,"Dénombrement de la population civile indigène, 22 mars 1931",59010,souls,8-11 (Tableau II),Hammama — population musulmane 58.953. totaux généraux 59.010,https://gallica.bnf.fr/ark:/12148/bpt6k994559s,"Caïdat, not tribe: the unit is the administration built on the tribe and its boundary is the caïdat's, not the tribe's.",1
Mejers,Caïdat de Madjeurs,1931,"Dénombrement de la population civile indigène, 22 mars 1931",68734,souls,8-11 (Tableau II),Madjeurs — population musulmane 68.503. totaux généraux 68.734,https://gallica.bnf.fr/ark:/12148/bpt6k994559s,"Caïdat, not tribe: the unit is the administration built on the tribe and its boundary is the caïdat's, not the tribe's.",1
Matmata,Caïdat de Matmata,1931,"Dénombrement de la population civile indigène, 22 mars 1931",19805,souls,8-11 (Tableau II),Matmata — population musulmane 19.573. totaux généraux 19.805,https://gallica.bnf.fr/ark:/12148/bpt6k994559s,"Caïdat, not tribe: the unit is the administration built on the tribe and its boundary is the caïdat's, not the tribe's.",1
Ouerghemma,Caïdat de Ouerghemma,1931,"Dénombrement de la population civile indigène, 22 mars 1931",71923,souls,8-11 (Tableau II),Ouerghemma — population musulmane 70.069. totaux généraux 71.923,https://gallica.bnf.fr/ark:/12148/bpt6k994559s,"Caïdat, not tribe: the unit is the administration built on the tribe and its boundary is the caïdat's, not the tribe's.",1
Ouled Aoun,Caïdat de Oulad-Aoun,1931,"Dénombrement de la population civile indigène, 22 mars 1931",30923,souls,8-11 (Tableau II),Oulad-Aoun — population musulmane 30.827. totaux généraux 30.923,https://gallica.bnf.fr/ark:/12148/bpt6k994559s,"Caïdat, not tribe: the unit is the administration built on the tribe and its boundary is the caïdat's, not the tribe's.",1
Ouled Ayar,Caïdat de Oulad-Ayar,1931,"Dénombrement de la population civile indigène, 22 mars 1931",34289,souls,8-11 (Tableau II),Oulad-Ayar — population musulmane 34.278. totaux généraux 34.289,https://gallica.bnf.fr/ark:/12148/bpt6k994559s,"Caïdat, not tribe: the unit is the administration built on the tribe and its boundary is the caïdat's, not the tribe's.",1
Souassi,Caïdat de Souassi,1931,"Dénombrement de la population civile indigène, 22 mars 1931",42407,souls,8-11 (Tableau II),Souassi — population musulmane 42.399. totaux généraux 42.407,https://gallica.bnf.fr/ark:/12148/bpt6k994559s,"Caïdat, not tribe: the unit is the administration built on the tribe and its boundary is the caïdat's, not the tribe's.",1
Zlass,Zlass,1860,"Ganiage 1966 (mejba registers, c. 1858-1861)",>60000,individuals,878,"Sur la foi des listes de mejba, on peut leur attribuer plus de 60.000 têtes entre 1858 et 1861, ce qui faisait de leur tribu la plus importante de la Régence",https://www.persee.fr/doc/pop_0032-4663_1966_num_21_5_13406,"Four fractions: Kooub et Gouazine, Ouled Khalifa, Ouled Sendassen, Ouled Iddir.",1
Hammama,Hammama,1860,"Ganiage 1966 (mejba registers, c. 1858-1861)",50000,individuals,878,"De leur côté, les Hammama, leurs alliés habituels, étaient 50.000",https://www.persee.fr/doc/pop_0032-4663_1966_num_21_5_13406,,1
Frechiche,Frèchich,1860,"Ganiage 1966 (mejba registers, c. 1858-1861)",46000-47000,individuals,877-878,"Les Frèchich étaient un peu plus nombreux : Ouled Ali, Ouled Naji et Ouled Ouzzaz, auxquels on pouvait adjoindre le groupe des Ouled Sidi Tlil qui vivaient avec eux, devaient être 46 ou 47.000 en 1857",https://www.persee.fr/doc/pop_0032-4663_1966_num_21_5_13406,The figure is for 1857 and includes the Ouled Sidi Tlil.,1
Drid,Drid,1860,"Ganiage 1966 (mejba registers, c. 1858-1861)",~50000,individuals,877,"la grande tribu de service des Drid, une des plus fidèles à la dynastie, devait compter près de 50.000 têtes, compte tenu des Arab Majour qui nomadisaient avec eux",https://www.persee.fr/doc/pop_0032-4663_1966_num_21_5_13406,"Includes the Arab Majour. Footnote: 11,131 mejba taxpayers among the Drid, 1,944 among the Arab Majour, budget of 1277.",1
Mejers,Majeur,1860,"Ganiage 1966 (mejba registers, c. 1858-1861)",~40000,individuals,877,"Les Majeur étaient divisés en trois fractions, ou brada, Fouad, Chaktma et Ouled Mehenna, qui, toutes ensemble, devaient rassembler près de 40.000 individus",https://www.persee.fr/doc/pop_0032-4663_1966_num_21_5_13406,"Footnote: 9,801 taxable in March 1857, 9,292 in August 1858, 9,231 in July 1859, 9,240 in July 1861.",1
M'Talith,Methellith,1860,"Ganiage 1966 (mejba registers, c. 1858-1861)",>25000,individuals,878,"les Methellith, leurs voisins du sud, un peu plus de 25.000",https://www.persee.fr/doc/pop_0032-4663_1966_num_21_5_13406,,1
Ouled Ayar,Ouled Ayar,1860,"Ganiage 1966 (mejba registers, c. 1858-1861)",~24000,individuals,877,"Les Ouled Aoun, du sof husseiniste, étaient une douzaine de mille, deux fois moins que les Ouled Ayar, du clan opposé",https://www.persee.fr/doc/pop_0032-4663_1966_num_21_5_13406,"Not stated directly: twice the Ouled Aoun, who are given as about twelve thousand.",1
Ouled Aoun,Ouled Aoun,1860,"Ganiage 1966 (mejba registers, c. 1858-1861)",~12000,individuals,877,"Les Ouled Aoun, du sof husseiniste, étaient une douzaine de mille",https://www.persee.fr/doc/pop_0032-4663_1966_num_21_5_13406,,1
Souassi,Souassi,1860,"Ganiage 1966 (mejba registers, c. 1858-1861)",20000,individuals,878,"Les Souassi, qui campaient en bordure du Sahel, étaient 20.000",https://www.persee.fr/doc/pop_0032-4663_1966_num_21_5_13406,,1
Ouerghemma,Ouerghamma,1860,"Ganiage 1966 (mejba registers, c. 1858-1861)",20000-25000,individuals,881,"avec ses cinq mille imposés à la mejba, la confédération des Ouerghamma était de loin la plus importante de l'Aradh. Faut-il lui attribuer 20, 22 ou 25.000 âmes",https://www.persee.fr/doc/pop_0032-4663_1966_num_21_5_13406,Ganiage flags his own conversion here: 'On sent trop le caractère aventureux de telles déductions'.,1
Matmata,Matmata,1860,"Ganiage 1966 (mejba registers, c. 1858-1861)",10000-11000,individuals,880,"Sur leurs pitons désolés, 10.000 à 11.000 montagnards vivaient ainsi",https://www.persee.fr/doc/pop_0032-4663_1966_num_21_5_13406,"The troglodyte villages; footnote lists 2,574 taxpayers across fourteen villages in 1276.",1
Ouled Yakoub,Ouled Yacoub,1860,"Ganiage 1966 (mejba registers, c. 1858-1861)",4000-5000,individuals,881,"Faut-il lui attribuer 20, 22 ou 25.000 âmes, contre 4 ou 5.000 aux Ouled Yacoub, 5 ou 6.000 aux Hamerna?",https://www.persee.fr/doc/pop_0032-4663_1966_num_21_5_13406,,1
Hamarna,Hamerna,1860,"Ganiage 1966 (mejba registers, c. 1858-1861)",5000-6000,individuals,881,"contre 4 ou 5.000 aux Ouled Yacoub, 5 ou 6.000 aux Hamerna?",https://www.persee.fr/doc/pop_0032-4663_1966_num_21_5_13406,,1
Ouled Saïd,Ouled Saïd,1860,"Ganiage 1966 (mejba registers, c. 1858-1861)",5000-6000,individuals,878,"Témoins, les Ouled Saïd et les Neffat, 5.000 à 6.000 individus au plus",https://www.persee.fr/doc/pop_0032-4663_1966_num_21_5_13406,The sentence pairs them with the Neffat and does not say whether the range is each or both.,1
Neffat,Neffat,1860,"Ganiage 1966 (mejba registers, c. 1858-1861)",5000-6000,individuals,878,"Témoins, les Ouled Saïd et les Neffat, 5.000 à 6.000 individus au plus",https://www.persee.fr/doc/pop_0032-4663_1966_num_21_5_13406,Same sentence as the Ouled Saïd; each or both is not stated.,1
Accara,Accara,1860,"Ganiage 1966 (mejba registers, c. 1858-1861)",595,mejba taxpayers,881,Les Accara n'étaient que 595,https://www.persee.fr/doc/pop_0032-4663_1966_num_21_5_13406,"Taxpayers, not souls.",1
Riah,Riah,1860,"Ganiage 1966 (mejba registers, c. 1858-1861)",unknown,,878,Nous ne savons combien étaient les Riah qui menaient une existence pacifique au sud de Zaghouan,https://www.persee.fr/doc/pop_0032-4663_1966_num_21_5_13406,"Recorded because a named absence is worth as much as a number: the Riah were inside a composite fiscal circumscription (Riah, Testour, Medjez el Bab, Zaghouan) that Ganiage could not break down.",1
